Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,2,Cédric,3.8,3.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,1,0.06,1,0.06,2,0.08,2,0.15,2,0.08,3,0.10,2,0.07,3,0.12,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,7,0.56,8,0.55,9,0.61,11,1.32,12,0.67,14,0.95,13,0.78,16,0.99,0.00
D,5,Gabriel,5.3,5.1,Arsenal,88,4.75,86,3.50,84,3.76,83,7.42,81,2.63,80,3.92,79,2.88,79,3.96,0.92
M,6,Havertz,7.2,7.2,Arsenal,77,5.61,74,4.16,71,4.26,68,7.75,68,3.53,67,4.39,68,3.60,66,3.96,0.00
D,7,Holding,4.3,4.3,Crystal Palace,0,0.00,0,0.00,0,0.00,6,0.34,19,0.53,34,0.95,28,0.88,25,0.72,0.00
F,8,G.Jesus,7.7,7.7,Arsenal,39,3.18,41,2.63,47,3.10,50,6.01,52,2.98,55,3.86,58,3.31,60,3.70,0.00
M,9,Jorginho,5.3,5.3,Arsenal,41,1.72,43,1.58,42,1.61,40,3.01,38,1.34,38,1.53,38,1.38,35,1.41,0.00
D,10,Kiwior,4.4,4.4,Arsenal,58,3.20,55,2.34,52,2.42,50,4.62,47,1.64,40,2.03,40,1.57,36,1.87,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,7.6,7.6,Arsenal,68,5.44,67,4.19,68,4.46,69,8.45,67,3.75,65,4.64,62,3.60,62,4.05,0.01
F,13,Nketiah,5.1,5.1,Arsenal,7,0.65,8,0.61,8,0.65,11,1.51,11,0.72,11,0.86,10,0.72,11,0.81,0.00
M,14,Ødegaard,8.5,8.5,Arsenal,87,6.28,86,4.80,85,5.13,83,9.29,83,4.22,82,5.36,82,4.32,80,4.86,0.02
M,15,Thomas,4.8,4.8,Arsenal,13,0.61,15,0.62,17,0.74,18,1.52,21,0.80,23,1.02,23,0.88,25,1.05,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,4.5,4.5,Arsenal,1,0.07,2,0.10,4,0.16,4,0.30,6,0.22,6,0.26,8,0.30,8,0.37,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,9.0,8.8,Arsenal,75,6.71,82,5.38,81,5.79,80,10.56,80,4.77,76,6.02,76,4.75,75,5.42,0.87
D,20,Saliba,5.8,5.8,Arsenal,92,4.58,87,3.28,85,3.54,83,6.98,82,2.47,83,3.83,83,2.80,83,3.94,0.39
M,21,Sambi,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,12,0.43,29,0.89,63,1.87,75,2.03,73,2.12,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,6,0.54,7,0.54,8,0.64,10,1.36,10,0.65,12,0.88,12,0.75,12,0.82,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,5,0.19,12,0.31,19,0.85,23,0.78,20,0.52,19,0.84,22,0.77,20,0.83,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,25,1.39,28,1.25,31,1.50,32,3.09,33,1.19,33,1.72,34,1.33,33,1.75,0.00
M,26,Trossard,6.5,6.5,Arsenal,49,4.05,48,3.22,45,3.12,43,5.71,42,2.56,42,3.19,42,2.61,41,2.88,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,49,0.37,54,0.92,60,1.26,59,3.08,57,0.88,59,1.75,70,1.43,47,0.79,0.00
G,28,Turner,3.8,3.8,Nott'm Forest,2,0.06,3,0.09,4,0.16,4,0.14,3,0.11,4,0.16,4,0.14,4,0.14,0.06
D,29,White,5.7,5.7,Arsenal,86,4.58,83,3.37,80,3.58,77,6.95,77,2.51,74,3.66,72,2.65,70,3.57,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,31,Zinchenko,5.0,5.0,Arsenal,25,1.48,27,1.31,27,1.42,29,2.96,30,1.23,32,1.84,32,1.43,34,1.96,0.00
D,32,Alex Moreno,5.2,5.2,Aston Villa,48,1.05,51,2.45,51,1.25,49,2.37,49,2.00,49,1.84,49,1.57,51,2.29,0.01
F,33,Archer,4.2,4.2,Sheffield Utd,23,1.01,31,1.46,35,1.67,35,3.56,34,1.57,34,1.77,35,1.51,35,1.68,0.01
M,34,Bailey,5.7,5.7,Aston Villa,82,2.98,73,4.29,69,2.66,68,4.21,69,3.70,69,3.45,66,3.19,64,3.30,0.01
M,35,Buendia,5.7,5.7,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,4.6,4.6,Aston Villa,0,0.00,0,0.00,0,0.00,23,1.04,33,1.27,39,1.38,39,1.17,40,1.71,0.01
D,37,Chambers,3.8,3.8,Aston Villa,10,0.19,8,0.28,9,0.20,10,0.37,7,0.24,8,0.23,7,0.19,8,0.29,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,39,Davis,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,40,Dendoncker,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,41,Diego Carlos,4.4,4.4,Aston Villa,76,1.09,72,2.68,72,1.25,62,2.24,58,1.78,58,1.60,58,1.31,57,1.97,0.00
D,42,Digne,4.6,4.6,Aston Villa,50,1.09,47,2.18,47,1.18,46,2.17,46,1.85,45,1.65,45,1.42,44,1.92,0.00
M,43,Douglas Luiz,5.7,5.7,Aston Villa,92,2.83,89,4.16,84,2.73,82,4.05,86,3.67,84,3.39,84,3.25,82,3.36,0.09
