Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,2,Cédric,3.8,3.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,0,0.00,0,0.00,2,0.06,1,0.04,1,0.05,2,0.06,3,0.11,2,0.16,2,0.07,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,12,0.59,16,1.07,13,0.72,15,0.90,14,0.80,13,0.76,15,0.96,14,1.70,16,0.98,0.00
D,5,Gabriel,5.3,5.1,Arsenal,68,1.77,79,4.22,85,3.45,82,3.72,81,3.77,79,2.73,78,3.88,77,6.47,78,4.06,0.25
M,6,Havertz,7.2,7.2,Arsenal,71,2.89,70,4.90,68,3.61,67,4.11,64,3.58,63,3.31,60,3.92,61,6.79,60,3.60,0.00
D,7,Holding,4.3,4.3,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,2,0.12,16,0.41,27,0.80,33,0.99,22,0.65,0.00
F,8,G.Jesus,7.8,7.8,Arsenal,36,1.69,44,3.36,51,2.88,57,3.74,63,3.58,68,3.74,66,4.47,65,7.44,66,4.01,0.00
M,9,Jorginho,5.3,5.3,Arsenal,57,1.71,40,1.66,38,1.37,34,1.36,33,1.28,33,1.19,35,1.41,33,2.52,35,1.40,0.00
D,10,Kiwior,4.4,4.4,Arsenal,60,1.66,44,2.34,30,1.28,23,1.02,22,1.01,23,0.86,26,1.26,26,2.20,29,1.47,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,7.7,7.7,Arsenal,52,2.32,66,4.96,69,4.04,69,4.58,64,3.87,64,3.62,63,4.44,62,7.59,62,4.09,0.00
F,13,Nketiah,5.1,5.1,Arsenal,9,0.52,8,0.72,9,0.64,9,0.70,10,0.69,10,0.70,11,0.91,11,1.47,11,0.81,0.00
M,14,Ødegaard,8.5,8.5,Arsenal,88,3.40,85,5.91,84,4.41,82,5.04,82,4.53,81,4.14,81,5.26,81,8.98,80,4.80,0.00
M,15,Thomas,4.8,4.8,Arsenal,12,0.45,16,0.72,19,0.76,21,0.85,28,1.09,26,0.98,28,1.21,29,2.24,30,1.22,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,4.5,4.5,Arsenal,3,0.09,3,0.12,5,0.20,4,0.17,4,0.19,6,0.23,7,0.33,8,0.62,8,0.37,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,9.1,8.8,Arsenal,89,4.00,81,6.82,81,5.02,77,5.80,77,4.94,78,4.65,76,6.00,79,10.29,77,5.55,0.20
D,20,Saliba,5.8,5.5,Arsenal,91,2.23,88,4.39,86,3.25,83,3.53,83,3.63,83,2.63,83,3.84,80,6.24,78,3.82,0.07
M,21,Sambi,4.9,4.9,Luton,42,1.16,0,0.00,69,2.00,77,1.82,75,2.22,75,2.04,73,2.13,74,2.00,67,2.00,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,9,0.50,9,0.74,9,0.60,10,0.70,10,0.70,10,0.67,10,0.80,11,1.44,11,0.78,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,28,0.87,27,1.52,35,1.51,38,1.82,38,1.84,39,1.45,38,2.00,38,3.40,38,2.03,0.00
M,26,Trossard,6.5,6.5,Arsenal,48,2.31,47,3.72,43,2.66,43,3.02,42,2.70,40,2.47,40,3.03,40,5.18,41,2.83,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,66,1.46,66,0.57,65,1.21,65,1.35,65,3.11,63,0.89,65,1.88,71,1.45,61,0.99,0.00
G,28,Turner,3.9,3.9,Nott'm Forest,0,0.00,2,0.08,3,0.10,4,0.15,4,0.13,5,0.15,6,0.22,6,0.20,5,0.19,0.02
D,29,White,5.7,5.7,Arsenal,85,2.24,79,4.23,76,3.13,68,3.13,65,3.06,66,2.31,64,3.21,64,5.45,63,3.32,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,31,Zinchenko,5.0,5.0,Arsenal,22,0.80,26,1.53,32,1.55,39,2.03,37,1.98,36,1.53,37,2.10,37,3.62,36,2.12,0.00
D,32,Alex Moreno,5.2,5.2,Aston Villa,49,2.42,49,1.07,47,2.34,50,1.12,48,2.19,48,1.86,47,1.61,47,1.44,49,2.13,0.03
F,33,Archer,4.2,4.2,Sheffield Utd,17,0.89,26,1.06,33,1.50,38,1.73,37,3.57,38,1.65,37,1.89,37,1.58,37,1.72,0.01
M,34,Bailey,5.7,5.7,Aston Villa,81,4.75,78,2.71,71,4.36,71,2.61,70,4.23,68,3.55,67,3.19,68,3.20,67,3.44,0.49
M,35,Buendia,5.7,5.7,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,4.6,4.6,Aston Villa,42,1.91,42,0.83,42,1.97,42,0.86,40,1.70,41,1.46,42,1.32,42,1.18,40,1.61,0.06
D,37,Chambers,3.8,3.8,Aston Villa,14,0.51,17,0.29,11,0.43,14,0.26,14,0.47,16,0.47,16,0.41,16,0.36,16,0.55,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
